doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,return_type_source,signature,source,source_object,source_type,target
compressed_text,487,"(column)",false,"BaseTable.std","std","BaseTable","{}",1,"BaseTable -> Standard","[""column""]","Standard","docstring","(column)",2,"BaseTable","BaseTable",34
"Get neighborhood sampling - delegates to PyGraphAnalysis helper",62,"(center_nodes, radius, max_nodes)",false,"Graph.neighborhood","neighborhood","Graph","{}",3,"Graph -> GraphAnalysis","[""center_nodes""]","GraphAnalysis","docstring","(center_nodes, radius=None, max_nodes=None)",14,"Graph","Graph",15
compressed_text,112,"(attr_names)",false,"EdgesAccessor.group_by","group_by","EdgesAccessor","{}",1,"EdgesAccessor -> SubgraphArray","[""attr_names""]","SubgraphArray","test_execution","(attr_names)",10,"EdgesAccessor","EdgesAccessor",37
"Get last n rows (default 5)",488,"(n)",false,"BaseTable.tail","tail","BaseTable","{}",1,"BaseTable -> BaseTable","[]","BaseTable","test_execution","(n=5)",2,"BaseTable","BaseTable",2
"Check whether the table contains any rows",151,"()",false,"NodesTable.is_empty","is_empty","NodesTable","{}",0,"NodesTable -> bool","[]","bool","test_execution","()",27,"NodesTable","NodesTable",47
"Apply table() to each NodesAccessor and return TableArray",214,"()",false,"NodesArray.table","table","NodesArray","{}",0,"NodesArray -> TableArray","[]","TableArray","test_execution","()",25,"NodesArray","NodesArray",39
"Elementwise multiplication (Hadamard product)
Returns: new GraphMatrix with elementwise product",323,"(other)",false,"GraphMatrix.elementwise_multiply","elementwise_multiply","GraphMatrix","{}",1,"GraphMatrix -> GraphMatrix","[""other""]","GraphMatrix","docstring","(other)",18,"GraphMatrix","GraphMatrix",18
compressed_text,575,"()",false,"EdgeId.as_integer_ratio","as_integer_ratio","EdgeId","{}",0,"EdgeId -> tuple","[]","tuple","test_execution","()",9,"EdgeId","EdgeId",55
compressed_text,149,"(port, layout, theme, width, height)",false,"NodesTable.interactive_viz","interactive_viz","NodesTable","{}",5,"NodesTable -> VizAccessor","[]","VizAccessor","test_execution","(port=None, layout=None, theme=None, width=None, height=None)",27,"NodesTable","NodesTable",46
compressed_text,480,"(row, column_name, value)",false,"BaseTable.set_value","set_value","BaseTable","{}",3,"BaseTable -> Unknown","[""row"", ""column_name"", ""value""]","Unknown","unknown","(row, column_name, value)",2,"BaseTable","BaseTable",43
compressed_text,523,"(suffix)",false,"AttrName.removesuffix","removesuffix","AttrName","{}",1,"AttrName -> str","[""suffix""]","str","docstring","(suffix, /)",0,"AttrName","AttrName",54
"Create subgraph from list of edges.",85,"(edges)",false,"Graph.subgraph_from_edges","subgraph_from_edges","Graph","{}",1,"Graph -> list","[""edges""]","list","docstring","(edges)",14,"Graph","Graph",52
compressed_text,467,"(index, columns, values, aggfunc)",false,"BaseTable.pivot_table","pivot_table","BaseTable","{}",4,"BaseTable -> Reshaped","[""index"", ""columns"", ""values"", ""aggfunc""]","Reshaped","docstring","(index, columns, values, aggfunc)",2,"BaseTable","BaseTable",33
"Auto-assign edge IDs for null values (useful for meta nodes)",170,"()",false,"EdgesTable.auto_assign_edge_ids","auto_assign_edge_ids","EdgesTable","{}",0,"EdgesTable -> EdgesTable","[]","EdgesTable","test_execution","()",12,"EdgesTable","EdgesTable",12
compressed_text,514,"()",false,"AttrName.isspace","isspace","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Get attribute value history for a node within a commit range.",66,"(node_id, attr, from_commit, to_commit)",false,"Graph.node_attr_history","node_attr_history","Graph","{}",4,"Graph -> Commit","[""node_id"", ""attr"", ""from_commit"", ""to_commit""]","Commit","docstring","(node_id, attr, from_commit, to_commit)",14,"Graph","Graph",5
compressed_text,136,"(bundle_path)",false,"GraphTable.verify_bundle","verify_bundle","GraphTable","{}",1,"GraphTable -> dict","[""bundle_path""]","dict","docstring","(bundle_path)",19,"GraphTable","GraphTable",49
compressed_text,585,"(bytes, byteorder, signed)",false,"StateId.from_bytes","from_bytes","StateId","{}",3,"StateId -> list","[""bytes"", ""byteorder""]","list","docstring","(bytes, byteorder, *, signed=False)",35,"StateId","StateId",52
"Create an EdgesArray for delegation chains
Implements: g.edges.array()",109,"()",false,"EdgesAccessor.array","array","EdgesAccessor","{}",0,"EdgesAccessor -> EdgesArray","[]","EdgesArray","test_execution","()",10,"EdgesAccessor","EdgesAccessor",11
compressed_text,584,"()",false,"StateId.bit_length","bit_length","StateId","{}",0,"StateId -> int","[]","int","test_execution","()",35,"StateId","StateId",51
compressed_text,115,"(attrs_dict)",false,"EdgesAccessor.set_attrs","set_attrs","EdgesAccessor","{}",1,"EdgesAccessor -> Graph","[""attrs_dict""]","Graph","docstring","(attrs_dict)",10,"EdgesAccessor","EdgesAccessor",14
"Get number of total rows (nodes + edges)",126,"()",false,"GraphTable.nrows","nrows","GraphTable","{}",0,"GraphTable -> int","[]","int","test_execution","()",19,"GraphTable","GraphTable",51
"Get Laplacian matrix - delegates to PyGraphMatrixHelper",59,"(normalized)",false,"Graph.laplacian_matrix","laplacian_matrix","Graph","{}",1,"Graph -> GraphMatrix","[]","GraphMatrix","test_execution","(normalized=None)",14,"Graph","Graph",18
"Explicit row iterator matching the Python iteration protocol.",188,"()",false,"EdgesTable.iter","iter","EdgesTable","{}",0,"EdgesTable -> EdgesTableRowIterator","[]","EdgesTableRowIterator","test_execution","()",12,"EdgesTable","EdgesTable",13
"Return the entity type string",275,"()",false,"Subgraph.entity_type","entity_type","Subgraph","{}",0,"Subgraph -> str","[]","str","test_execution","()",36,"Subgraph","Subgraph",54
"Get preview of matrix for display (first N rows/cols by default)",359,"(row_limit, col_limit)",false,"GraphMatrix.preview","preview","GraphMatrix","{}",2,"GraphMatrix -> list","[]","list","test_execution","(row_limit=None, col_limit=None)",18,"GraphMatrix","GraphMatrix",52
compressed_text,581,"(bytes, byteorder, signed)",false,"NodeId.from_bytes","from_bytes","NodeId","{}",3,"NodeId -> list","[""bytes"", ""byteorder""]","list","docstring","(bytes, byteorder, *, signed=False)",23,"NodeId","NodeId",52
"Global mean of all elements in the matrix  ",349,"()",false,"GraphMatrix.mean","mean","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","test_execution","()",18,"GraphMatrix","GraphMatrix",50
compressed_text,576,"()",false,"EdgeId.bit_length","bit_length","EdgeId","{}",0,"EdgeId -> int","[]","int","test_execution","()",9,"EdgeId","EdgeId",51
compressed_text,415,"(column_name)",false,"BaseTable.column","column","BaseTable","{}",1,"BaseTable -> BaseArray","[""column_name""]","BaseArray","test_execution","(column_name)",2,"BaseTable","BaseTable",1
compressed_text,567,"(keepends)",false,"BranchName.splitlines","splitlines","BranchName","{}",1,"BranchName -> list","[]","list","test_execution","(keepends=False)",4,"BranchName","BranchName",52
compressed_text,307,"()",false,"Subgraph.to_edges","to_edges","Subgraph","{}",0,"Subgraph -> EdgesAccessor","[]","EdgesAccessor","test_execution","()",36,"Subgraph","Subgraph",10
"",3,"(node_id, kwargs)",false,"Graph.add_node","add_node","Graph","{}",2,"Graph -> Unknown","[""kwargs""]","Unknown","unknown","(node_id=None, **kwargs)",14,"Graph","Graph",43
compressed_text,99,"()",false,"NodesAccessor.array","array","NodesAccessor","{}",0,"NodesAccessor -> NodesArray","[]","NodesArray","test_execution","()",24,"NodesAccessor","NodesAccessor",25
"Compute neighborhoods from this subgraph and return them as a SubgraphArray",293,"(center_nodes, hops)",false,"Subgraph.neighborhood","neighborhood","Subgraph","{}",2,"Subgraph -> SubgraphArray","[]","SubgraphArray","test_execution","(center_nodes=None, hops=1)",36,"Subgraph","Subgraph",37
compressed_text,573,"(width)",false,"BranchName.zfill","zfill","BranchName","{}",1,"BranchName -> str","[""width""]","str","docstring","(width, /)",4,"BranchName","BranchName",54
compressed_text,557,"(chars)",false,"BranchName.lstrip","lstrip","BranchName","{}",1,"BranchName -> str","[]","str","test_execution","(chars=None, /)",4,"BranchName","BranchName",54
compressed_text,123,"(bundle_path)",false,"GraphTable.load_bundle","load_bundle","GraphTable","{}",1,"GraphTable -> Graph","[""bundle_path""]","Graph","docstring","(bundle_path)",19,"GraphTable","GraphTable",14
"Set multiple node attributes (bulk operation) - delegates to accessor",301,"(attrs_dict)",false,"Subgraph.set_node_attrs","set_node_attrs","Subgraph","{}",1,"Subgraph -> Unknown","[""attrs_dict""]","Unknown","unknown","(attrs_dict)",36,"Subgraph","Subgraph",43
"Validate the GraphTable and return report",135,"()",false,"GraphTable.validate","validate","GraphTable","{}",0,"GraphTable -> str","[]","str","test_execution","()",19,"GraphTable","GraphTable",54
"Get column by name as BaseArray (mixed types) or NumArray (if all numerical)",336,"(name)",false,"GraphMatrix.get_column_by_name","get_column_by_name","GraphMatrix","{}",1,"GraphMatrix -> BaseArray","[""name""]","BaseArray","docstring","(name)",18,"GraphMatrix","GraphMatrix",1
"Get first n rows (default 5)",183,"(n)",false,"EdgesTable.head","head","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[]","EdgesTable","test_execution","(n=5)",12,"EdgesTable","EdgesTable",12
compressed_text,353,"(operand)",false,"GraphMatrix.multiply","multiply","GraphMatrix","{}",1,"GraphMatrix -> float","[""operand""]","float","docstring","(operand)",18,"GraphMatrix","GraphMatrix",50
compressed_text,530,"(keepends)",false,"AttrName.splitlines","splitlines","AttrName","{}",1,"AttrName -> list","[]","list","test_execution","(keepends=False)",0,"AttrName","AttrName",52
compressed_text,549,"()",false,"BranchName.isnumeric","isnumeric","BranchName","{}",0,"BranchName -> bool","[]","bool","test_execution","()",4,"BranchName","BranchName",47
"Find the minimum value",226,"()",false,"NumArray.min","min","NumArray","{}",0,"NumArray -> float","[]","float","test_execution","()",31,"NumArray","NumArray",50
"Filter nodes and return new subgraph  ",277,"(filter)",false,"Subgraph.filter_nodes","filter_nodes","Subgraph","{}",1,"Subgraph -> Subgraph","[""filter""]","Subgraph","test_execution","(filter)",36,"Subgraph","Subgraph",36
"",29,"(edge)",false,"Graph.edge_endpoints","edge_endpoints","Graph","{}",1,"Graph -> Unknown","[""edge""]","Unknown","unknown","(edge)",14,"Graph","Graph",43
"Count unique values",228,"()",false,"NumArray.nunique","nunique","NumArray","{}",0,"NumArray -> int","[]","int","test_execution","()",31,"NumArray","NumArray",51
compressed_text,472,"(columns)",false,"BaseTable.rename","rename","BaseTable","{}",1,"BaseTable -> dict","[""columns""]","dict","docstring","(columns)",2,"BaseTable","BaseTable",49
"Global minimum value in the matrix",351,"()",false,"GraphMatrix.min","min","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","test_execution","()",18,"GraphMatrix","GraphMatrix",50
compressed_text,568,"(chars)",false,"BranchName.strip","strip","BranchName","{}",1,"BranchName -> str","[]","str","test_execution","(chars=None, /)",4,"BranchName","BranchName",54
"Convert edge attributes to matrix
Implements: g.edges.matrix()",114,"()",false,"EdgesAccessor.matrix","matrix","EdgesAccessor","{}",0,"EdgesAccessor -> GraphMatrix","[]","GraphMatrix","test_execution","()",10,"EdgesAccessor","EdgesAccessor",18
"Convert subgraph to a GraphTable containing both nodes and edges
Pure delegation to core GraphTable",306,"()",false,"Subgraph.table","table","Subgraph","{}",0,"Subgraph -> GraphTable","[]","GraphTable","test_execution","()",36,"Subgraph","Subgraph",19
"Sample k random nodes from the graph.",76,"(k)",false,"Graph.sample","sample","Graph","{}",1,"Graph -> Subgraph","[""k""]","Subgraph","test_execution","(k)",14,"Graph","Graph",36
compressed_text,479,"(column_name, values)",false,"BaseTable.set_column","set_column","BaseTable","{}",2,"BaseTable -> list","[""column_name"", ""values""]","list","docstring","(column_name, values)",2,"BaseTable","BaseTable",52
compressed_text,265,compressed_text,false,"Subgraph.collapse","collapse","Subgraph","{}",9,"Subgraph -> MetaNode","[]","MetaNode","test_execution",compressed_text,36,"Subgraph","Subgraph",22
compressed_text,414,"(column, factor)",false,"BaseTable.check_outliers","check_outliers","BaseTable","{}",2,"BaseTable -> float","[""column""]","float","docstring","(column, factor=None)",2,"BaseTable","BaseTable",50
"Get total node count across all NodesAccessor objects",216,"()",false,"NodesArray.total_node_count","total_node_count","NodesArray","{}",0,"NodesArray -> int","[]","int","test_execution","()",25,"NodesArray","NodesArray",51
"Apply table() to all subgraphs and return PyTableArray",247,"()",false,"SubgraphArray.table","table","SubgraphArray","{}",0,"SubgraphArray -> TableArray","[]","TableArray","test_execution","()",37,"SubgraphArray","SubgraphArray",39
"Export NodesTable to CSV file",163,"(path)",false,"NodesTable.to_csv","to_csv","NodesTable","{}",1,"NodesTable -> NoneType","[""path""]","NoneType","test_execution","(path)",27,"NodesTable","NodesTable",30
"Generate dense HTML representation for small matrices",319,"()",false,"GraphMatrix.dense_html_repr","dense_html_repr","GraphMatrix","{}",0,"GraphMatrix -> str","[]","str","test_execution","()",18,"GraphMatrix","GraphMatrix",54
"Variance along specified axis (0=rows, 1=columns)",393,"(axis)",false,"GraphMatrix.var_axis","var_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","unknown","(axis)",18,"GraphMatrix","GraphMatrix",43
"Filter edges using the same syntax as graph.filter_edges and return a subgraph",111,"(filter)",false,"EdgesAccessor.filter","filter","EdgesAccessor","{}",1,"EdgesAccessor -> Subgraph","[""filter""]","Subgraph","test_execution","(filter)",10,"EdgesAccessor","EdgesAccessor",36
"Convert table to SubgraphArray by creating subgraphs from table rows",134,"()",false,"GraphTable.to_subgraphs","to_subgraphs","GraphTable","{}",0,"GraphTable -> SubgraphArray","[]","SubgraphArray","docstring","()",19,"GraphTable","GraphTable",37
compressed_text,346,"(func)",false,"GraphMatrix.map","map","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""func""]","Matrix","docstring","(func)",18,"GraphMatrix","GraphMatrix",20
"Check if subgraph contains a specific node (alias for has_node)",268,"(node_id)",false,"Subgraph.contains_node","contains_node","Subgraph","{}",1,"Subgraph -> Subgraph","[""node_id""]","Subgraph","docstring","(node_id)",36,"Subgraph","Subgraph",36
"Get standard Laplacian matrix (D - A)",385,"()",false,"GraphMatrix.to_laplacian","to_laplacian","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","docstring","()",18,"GraphMatrix","GraphMatrix",20
compressed_text,582,"(length, byteorder, signed)",false,"NodeId.to_bytes","to_bytes","NodeId","{}",3,"NodeId -> list","[""length"", ""byteorder""]","list","docstring","(length, byteorder, *, signed=False)",23,"NodeId","NodeId",52
compressed_text,430,"(column, operation)",false,"BaseTable.expanding","expanding","BaseTable","{}",2,"BaseTable -> BaseArray","[""column"", ""operation""]","BaseArray","docstring","(column, operation)",2,"BaseTable","BaseTable",1
compressed_text,263,"()",false,"Subgraph.child_meta_nodes","child_meta_nodes","Subgraph","{}",0,"Subgraph -> list","[]","list","test_execution","()",36,"Subgraph","Subgraph",52
"Sample using either a sampler pipeline or a simple k value.",298,"(sampler_or_k)",false,"Subgraph.sample","sample","Subgraph","{}",1,"Subgraph -> Subgraph","[""sampler_or_k""]","Subgraph","test_execution","(sampler_or_k)",36,"Subgraph","Subgraph",36
"Remove a single node from the graph",73,"(node)",false,"Graph.remove_node","remove_node","Graph","{}",1,"Graph -> Graph","[""node""]","Graph","docstring","(node)",14,"Graph","Graph",14
"Convert to EdgesAccessor - delegates via Python.",89,"()",false,"Graph.to_edges","to_edges","Graph","{}",0,"Graph -> EdgesAccessor","[]","EdgesAccessor","test_execution","()",14,"Graph","Graph",10
"Count non-null values (for NumArray, all values are non-null by default)",219,"()",false,"NumArray.count","count","NumArray","{}",0,"NumArray -> int","[]","int","test_execution","()",31,"NumArray","NumArray",51
compressed_text,541,"(tabsize)",false,"BranchName.expandtabs","expandtabs","BranchName","{}",1,"BranchName -> str","[]","str","test_execution","(tabsize=8)",4,"BranchName","BranchName",54
compressed_text,408,"(row_data)",false,"BaseTable.append","append","BaseTable","{}",1,"BaseTable -> dict","[""row_data""]","dict","docstring","(row_data)",2,"BaseTable","BaseTable",49
compressed_text,553,"()",false,"BranchName.isupper","isupper","BranchName","{}",0,"BranchName -> bool","[]","bool","test_execution","()",4,"BranchName","BranchName",47
"Check if edge exists between nodes - delegates via Python.",46,"(source, target)",false,"Graph.has_edge_between","has_edge_between","Graph","{}",2,"Graph -> Unknown","[""source"", ""target""]","Unknown","unknown","(source, target)",14,"Graph","Graph",43
compressed_text,454,"()",false,"BaseTable.isna","isna","BaseTable","{}",0,"BaseTable -> BaseTable","[]","BaseTable","test_execution","()",2,"BaseTable","BaseTable",2
compressed_text,465,"(column, percentile, interpolation)",false,"BaseTable.percentile","percentile","BaseTable","{}",3,"BaseTable -> Unknown","[""column"", ""percentile""]","Unknown","unknown","(column, percentile, interpolation=None)",2,"BaseTable","BaseTable",43
"Filter NodesAccessor objects using a Python predicate function",206,"(predicate)",false,"NodesArray.filter","filter","NodesArray","{}",1,"NodesArray -> NodesArray","[""predicate""]","NodesArray","test_execution","(predicate)",25,"NodesArray","NodesArray",25
compressed_text,311,"()",false,"Subgraph.to_nodes","to_nodes","Subgraph","{}",0,"Subgraph -> NodesAccessor","[]","NodesAccessor","test_execution","()",36,"Subgraph","Subgraph",24
"Apply aggregation to all tables - placeholder method",249,"(agg_spec)",false,"TableArray.agg","agg","TableArray","{}",1,"TableArray -> Unknown","[""agg_spec""]","Unknown","unknown","(agg_spec)",39,"TableArray","TableArray",43
"Sum along specified axis (0=rows, 1=columns)",377,"(axis)",false,"GraphMatrix.sum_axis","sum_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","unknown","(axis)",18,"GraphMatrix","GraphMatrix",43
"Calculate the sum",231,"()",false,"NumArray.sum","sum","NumArray","{}",0,"NumArray -> float","[]","float","test_execution","()",31,"NumArray","NumArray",50
"Create matrix from BaseArray containing numeric values",328,"(base_array, rows, cols)",false,"GraphMatrix.from_base_array","from_base_array","GraphMatrix","{}",3,"GraphMatrix -> float","[""base_array"", ""rows"", ""cols""]","float","docstring","(base_array, rows, cols)",18,"GraphMatrix","GraphMatrix",50
"Convert node attributes to matrix
Implements: g.nodes.matrix()",105,"()",false,"NodesAccessor.matrix","matrix","NodesAccessor","{}",0,"NodesAccessor -> GraphMatrix","[]","GraphMatrix","test_execution","()",24,"NodesAccessor","NodesAccessor",18
compressed_text,561,"(old, new, count)",false,"BranchName.replace","replace","BranchName","{}",3,"BranchName -> float","[""old"", ""new""]","float","docstring","(old, new, count=-1, /)",4,"BranchName","BranchName",50
"Node count property",295,"()",false,"Subgraph.node_count","node_count","Subgraph","{}",0,"Subgraph -> int","[]","int","test_execution","()",36,"Subgraph","Subgraph",51
compressed_text,468,"()",false,"BaseTable.profile","profile","BaseTable","{}",0,"BaseTable -> BaseTable","[]","BaseTable","test_execution","()",2,"BaseTable","BaseTable",2
compressed_text,244,"()",false,"SubgraphArray.nodes_table","nodes_table","SubgraphArray","{}",0,"SubgraphArray -> TableArray","[]","TableArray","test_execution","()",37,"SubgraphArray","SubgraphArray",39
"Create a ones matrix with specified dimensions",357,"(rows, cols, dtype)",false,"GraphMatrix.ones","ones","GraphMatrix","{}",3,"GraphMatrix -> Matrix","[""rows"", ""cols""]","Matrix","docstring","(rows, cols, dtype=None)",18,"GraphMatrix","GraphMatrix",20
"Get last n rows (primarily from nodes table, default 5)",130,"(n)",false,"GraphTable.tail","tail","GraphTable","{}",1,"GraphTable -> GraphTable","[]","GraphTable","test_execution","(n=5)",19,"GraphTable","GraphTable",19
"Check if node exists - DELEGATED (same as has_node)",22,"(node)",false,"Graph.contains_node","contains_node","Graph","{}",1,"Graph -> Unknown","[""node""]","Unknown","unknown","(node)",14,"Graph","Graph",43
compressed_text,97,"()",false,"Graph.view","view","Graph","{}",0,"Graph -> Subgraph","[]","Subgraph","test_execution","()",14,"Graph","Graph",36
"Check if column exists",448,"(name)",false,"BaseTable.has_column","has_column","BaseTable","{}",1,"BaseTable -> bool","[""name""]","bool","test_execution","(name)",2,"BaseTable","BaseTable",47
"Get rich display representation with EdgesTable type",191,"(config)",false,"EdgesTable.rich_display","rich_display","EdgesTable","{}",1,"EdgesTable -> str","[]","str","test_execution","(config=None)",12,"EdgesTable","EdgesTable",54
"Add a single edge to the graph with support for string IDs and attributes",0,"(source, target, uid_key, kwargs)",false,"Graph.add_edge","add_edge","Graph","{}",4,"Graph -> str","[""source"", ""target"", ""kwargs""]","str","docstring","(source, target, uid_key=None, **kwargs)",14,"Graph","Graph",54
compressed_text,431,"(operation)",false,"BaseTable.expanding_all","expanding_all","BaseTable","{}",1,"BaseTable -> float","[""operation""]","float","docstring","(operation)",2,"BaseTable","BaseTable",50
"Get first element",220,"()",false,"NumArray.first","first","NumArray","{}",0,"NumArray -> int","[]","int","test_execution","()",31,"NumArray","NumArray",51
"Get shape as (rows, cols)",128,"()",false,"GraphTable.shape","shape","GraphTable","{}",0,"GraphTable -> tuple","[]","tuple","test_execution","()",19,"GraphTable","GraphTable",55
"Filter edges by target nodes",177,"(target_nodes)",false,"EdgesTable.filter_by_targets","filter_by_targets","EdgesTable","{}",1,"EdgesTable -> Unknown","[""target_nodes""]","Unknown","unknown","(target_nodes)",12,"EdgesTable","EdgesTable",43
compressed_text,554,"(iterable)",false,"BranchName.join","join","BranchName","{}",1,"BranchName -> str","[""iterable""]","str","docstring","(iterable, /)",4,"BranchName","BranchName",54
"Get all attribute keys for an edge - delegates to PyGraphAttr",27,"(edge_id)",false,"Graph.edge_attribute_keys","edge_attribute_keys","Graph","{}",1,"Graph -> GraphAttr","[""edge_id""]","GraphAttr","docstring","(edge_id)",14,"Graph","Graph",16
"Import BaseTable from CSV file",437,"(path)",false,"BaseTable.from_csv","from_csv","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","docstring","(path)",2,"BaseTable","BaseTable",2
"Convert to pandas DataFrame",493,"()",false,"BaseTable.to_pandas","to_pandas","BaseTable","{}",0,"BaseTable -> DataFrame","[]","DataFrame","test_execution","()",2,"BaseTable","BaseTable",7
"Calculate similarity - delegates via Python.",13,"(other, metric)",false,"Graph.calculate_similarity","calculate_similarity","Graph","{}",2,"Graph -> Unknown","[""other""]","Unknown","unknown","(other, metric='jaccard')",14,"Graph","Graph",43
"Softmax activation applied to matrix
Implements: matrix.softmax(dim=1)",370,"(dim)",false,"GraphMatrix.softmax","softmax","GraphMatrix","{}",1,"GraphMatrix -> GraphMatrix","[]","GraphMatrix","test_execution","(dim=1)",18,"GraphMatrix","GraphMatrix",18
"Get bulk edge attributes - delegates to PyGraphAttr",37,"(edges, attrs)",false,"Graph.get_edge_attrs","get_edge_attrs","Graph","{}",2,"Graph -> GraphAttr","[""edges"", ""attrs""]","GraphAttr","docstring","(edges, attrs)",14,"Graph","Graph",16
compressed_text,243,"()",false,"SubgraphArray.merge","merge","SubgraphArray","{}",0,"SubgraphArray -> Graph","[]","Graph","test_execution","()",37,"SubgraphArray","SubgraphArray",14
compressed_text,512,"()",false,"AttrName.isnumeric","isnumeric","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
compressed_text,259,"()",false,"Subgraph.adjacency_matrix","adjacency_matrix","Subgraph","{}",0,"Subgraph -> GraphMatrix","[]","GraphMatrix","test_execution","()",36,"Subgraph","Subgraph",18
"Calculate clustering coefficient for a node or entire subgraph",264,"(_node_id)",false,"Subgraph.clustering_coefficient","clustering_coefficient","Subgraph","{}",1,"Subgraph -> Subgraph","[]","Subgraph","docstring","(_node_id=None)",36,"Subgraph","Subgraph",36
"Check if subgraph contains a specific edge (alias for has_edge)  ",267,"(edge_id)",false,"Subgraph.contains_edge","contains_edge","Subgraph","{}",1,"Subgraph -> Subgraph","[""edge_id""]","Subgraph","docstring","(edge_id)",36,"Subgraph","Subgraph",36
compressed_text,453,"(column_name, values)",false,"BaseTable.isin","isin","BaseTable","{}",2,"BaseTable -> list","[""column_name"", ""values""]","list","docstring","(column_name, values)",2,"BaseTable","BaseTable",52
compressed_text,168,"(attr_name, attributes)",false,"NodesTable.with_attributes","with_attributes","NodesTable","{}",2,"NodesTable -> dict","[""attr_name"", ""attributes""]","dict","docstring","(attr_name, attributes)",27,"NodesTable","NodesTable",49
"Check if edge has specific attribute - delegates to PyGraphAttr",45,"(edge_id, attr_name)",false,"Graph.has_edge_attribute","has_edge_attribute","Graph","{}",2,"Graph -> GraphAttr","[""edge_id"", ""attr_name""]","GraphAttr","docstring","(edge_id, attr_name)",14,"Graph","Graph",16
compressed_text,526,"(sep)",false,"AttrName.rpartition","rpartition","AttrName","{}",1,"AttrName -> str","[""sep""]","str","docstring","(sep, /)",0,"AttrName","AttrName",54
compressed_text,579,"()",false,"NodeId.as_integer_ratio","as_integer_ratio","NodeId","{}",0,"NodeId -> tuple","[]","tuple","test_execution","()",23,"NodeId","NodeId",55
"Matrix Integration: Reshape NumArray into a GraphMatrix",229,"(rows, cols)",false,"NumArray.reshape","reshape","NumArray","{}",2,"NumArray -> NumArray","[""rows"", ""cols""]","NumArray","docstring","(rows, cols)",31,"NumArray","NumArray",31
"Get in-degree for nodes - delegates via Python method call.",54,"(nodes, full_graph)",false,"Graph.in_degree","in_degree","Graph","{}",2,"Graph -> NumArray","[]","NumArray","test_execution","(nodes=None, *, full_graph=False)",14,"Graph","Graph",31
"Dropout operation for regularization",321,"(p, training)",false,"GraphMatrix.dropout","dropout","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""p""]","Unknown","unknown","(p, training=None)",18,"GraphMatrix","GraphMatrix",43
"Get neighbors of nodes as they existed at a specific commit.",64,"(node_ids, commit_id)",false,"Graph.neighbors_at_commit","neighbors_at_commit","Graph","{}",2,"Graph -> Commit","[""node_ids"", ""commit_id""]","Commit","docstring","(node_ids, commit_id)",14,"Graph","Graph",5
"Convert to Python list",215,"()",false,"NodesArray.to_list","to_list","NodesArray","{}",0,"NodesArray -> list","[]","list","test_execution","()",25,"NodesArray","NodesArray",52
compressed_text,559,"(prefix)",false,"BranchName.removeprefix","removeprefix","BranchName","{}",1,"BranchName -> str","[""prefix""]","str","docstring","(prefix, /)",4,"BranchName","BranchName",54
"Calculate clustering coefficient (not yet implemented in core).",16,"(_node_id)",false,"Graph.clustering_coefficient","clustering_coefficient","Graph","{}",1,"Graph -> Unknown","[]","Unknown","unknown","(_node_id=None)",14,"Graph","Graph",43
"Create federated GraphTable from multiple bundle paths",119,"(bundle_paths, domain_names)",false,"GraphTable.from_federated_bundles","from_federated_bundles","GraphTable","{}",2,"GraphTable -> GraphTable","[""bundle_paths""]","GraphTable","docstring","(bundle_paths, domain_names=None)",19,"GraphTable","GraphTable",19
compressed_text,443,"(column, percentile, interpolation)",false,"BaseTable.get_percentile","get_percentile","BaseTable","{}",3,"BaseTable -> Object","[""column"", ""percentile""]","Object","docstring","(column, percentile, interpolation=None)",2,"BaseTable","BaseTable",32
"Convert to BaseTable (loses node-specific typing)",150,"()",false,"NodesTable.into_base_table","into_base_table","NodesTable","{}",0,"NodesTable -> BaseTable","[]","BaseTable","test_execution","()",27,"NodesTable","NodesTable",2
compressed_text,515,"()",false,"AttrName.istitle","istitle","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Get all unique edge attribute names across the entire graph",7,"()",false,"Graph.all_edge_attribute_names","all_edge_attribute_names","Graph","{}",0,"Graph -> list","[]","list","test_execution","()",14,"Graph","Graph",52
"Create a new branch (FFI wrapper around core history system)",23,"(branch_name)",false,"Graph.create_branch","create_branch","Graph","{}",1,"Graph -> Unknown","[""branch_name""]","Unknown","unknown","(branch_name)",14,"Graph","Graph",43
