doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,return_type_source,signature,source,source_object,source_type,target
"Get last n rows (default 5)",162,"(n)",false,"NodesTable.tail","tail","NodesTable","{}",1,"NodesTable -> NodesTable","[]","NodesTable","test_execution","(n=5)",27,"NodesTable","NodesTable",27
"Get node IDs as an IntArray for integer operations
Implements: g.nodes.ids()",104,"()",false,"NodesAccessor.ids","ids","NodesAccessor","{}",0,"NodesAccessor -> NumArray","[]","NumArray","test_execution","()",24,"NodesAccessor","NodesAccessor",31
"Export BaseTable to CSV file",489,"(path)",false,"BaseTable.to_csv","to_csv","BaseTable","{}",1,"BaseTable -> NoneType","[""path""]","NoneType","test_execution","(path)",2,"BaseTable","BaseTable",30
"Return a copy of the string converted to uppercase.",572,"()",false,"BranchName.upper","upper","BranchName","{}",0,"BranchName -> str","[]","str","test_execution","()",4,"BranchName","BranchName",54
compressed_text,539,"(width, fillchar)",false,"BranchName.center","center","BranchName","{}",2,"BranchName -> str","[""width""]","str","docstring","(width, fillchar=' ', /)",4,"BranchName","BranchName",54
"Group nodes by attribute value and compute aggregates (public method for benchmarks)",42,"(attribute, aggregation_attr, operation)",false,"Graph.group_by","group_by","Graph","{}",3,"Graph -> Unknown","[""attribute"", ""aggregation_attr"", ""operation""]","Unknown","unknown","(attribute, aggregation_attr, operation)",14,"Graph","Graph",43
"Get the first NodesAccessor",208,"()",false,"NodesArray.first","first","NodesArray","{}",0,"NodesArray -> NodesAccessor","[]","NodesAccessor","test_execution","()",25,"NodesArray","NodesArray",24
compressed_text,524,"(old, new, count)",false,"AttrName.replace","replace","AttrName","{}",3,"AttrName -> float","[""old"", ""new""]","float","docstring","(old, new, count=-1, /)",0,"AttrName","AttrName",50
compressed_text,196,"(columns, ascending)",false,"EdgesTable.sort_values","sort_values","EdgesTable","{}",2,"EdgesTable -> list","[""columns""]","list","docstring","(columns, ascending=None)",12,"EdgesTable","EdgesTable",52
compressed_text,194,"(start, end)",false,"EdgesTable.slice","slice","EdgesTable","{}",2,"EdgesTable -> EdgesTable","[""start"", ""end""]","EdgesTable","docstring","(start, end)",12,"EdgesTable","EdgesTable",12
"Convert to Pandas DataFrame (when pandas available)",389,"()",false,"GraphMatrix.to_pandas","to_pandas","GraphMatrix","{}",0,"GraphMatrix -> DataFrame","[]","DataFrame","test_execution","()",18,"GraphMatrix","GraphMatrix",7
compressed_text,473,"(new_order)",false,"BaseTable.reorder_columns","reorder_columns","BaseTable","{}",1,"BaseTable -> list","[""new_order""]","list","docstring","(new_order)",2,"BaseTable","BaseTable",52
compressed_text,520,"(chars)",false,"AttrName.lstrip","lstrip","AttrName","{}",1,"AttrName -> str","[]","str","test_execution","(chars=None, /)",0,"AttrName","AttrName",54
compressed_text,583,"()",false,"StateId.as_integer_ratio","as_integer_ratio","StateId","{}",0,"StateId -> tuple","[]","tuple","test_execution","()",35,"StateId","StateId",55
"Remove multiple nodes from the graph",74,"(nodes)",false,"Graph.remove_nodes","remove_nodes","Graph","{}",1,"Graph -> Graph","[""nodes""]","Graph","docstring","(nodes)",14,"Graph","Graph",14
"Calculate density of this subgraph",270,"()",false,"Subgraph.density","density","Subgraph","{}",0,"Subgraph -> float","[]","float","test_execution","()",36,"Subgraph","Subgraph",50
compressed_text,540,"(encoding, errors)",false,"BranchName.encode","encode","BranchName","{}",2,"BranchName -> bytes","[]","bytes","test_execution","(encoding='utf-8', errors='strict')",4,"BranchName","BranchName",48
compressed_text,363,"(repeats, axis)",false,"GraphMatrix.repeat","repeat","GraphMatrix","{}",2,"GraphMatrix -> float","[""repeats"", ""axis""]","float","docstring","(repeats, axis)",18,"GraphMatrix","GraphMatrix",50
"Extract a column from all tables and return as ArrayArray",251,"(column_name)",false,"TableArray.extract_column","extract_column","TableArray","{}",1,"TableArray -> Unknown","[""column_name""]","Unknown","unknown","(column_name)",39,"TableArray","TableArray",43
compressed_text,506,"()",false,"AttrName.isalpha","isalpha","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Convert to pandas DataFrame",202,"()",false,"EdgesTable.to_pandas","to_pandas","EdgesTable","{}",0,"EdgesTable -> DataFrame","[]","DataFrame","test_execution","()",12,"EdgesTable","EdgesTable",7
"Create an iterator for method chaining",211,"()",false,"NodesArray.iter","iter","NodesArray","{}",0,"NodesArray -> NodesArrayIterator","[]","NodesArrayIterator","test_execution","()",25,"NodesArray","NodesArray",26
"Calculate graph density (number of edges / number of possible edges) - PURE DELEGATION",25,"()",false,"Graph.density","density","Graph","{}",0,"Graph -> float","[]","float","test_execution","()",14,"Graph","Graph",50
"Get unique values as a new NumArray",234,"()",false,"NumArray.unique","unique","NumArray","{}",0,"NumArray -> NumArray","[]","NumArray","test_execution","()",31,"NumArray","NumArray",31
compressed_text,534,"(table)",false,"AttrName.translate","translate","AttrName","{}",1,"AttrName -> dict","[""table""]","dict","docstring","(table, /)",0,"AttrName","AttrName",49
"Element-wise square root",373,"()",false,"GraphMatrix.sqrt","sqrt","GraphMatrix","{}",0,"GraphMatrix -> GraphMatrix","[]","GraphMatrix","test_execution","()",18,"GraphMatrix","GraphMatrix",18
compressed_text,495,"(dtype)",false,"BaseTable.to_type","to_type","BaseTable","{}",1,"BaseTable -> float","[""dtype""]","float","docstring","(dtype)",2,"BaseTable","BaseTable",50
"Collect all subgraphs into a Python list (for compatibility with iterator patterns)",237,"()",false,"SubgraphArray.collect","collect","SubgraphArray","{}",0,"SubgraphArray -> list","[]","list","test_execution","()",37,"SubgraphArray","SubgraphArray",52
compressed_text,521,"(sep)",false,"AttrName.partition","partition","AttrName","{}",1,"AttrName -> str","[""sep""]","str","docstring","(sep, /)",0,"AttrName","AttrName",54
"Check whether the graph contains any nodes or edges",58,"()",false,"Graph.is_empty","is_empty","Graph","{}",0,"Graph -> bool","[]","bool","test_execution","()",14,"Graph","Graph",47
"BFS traversal - returns subgraph result",261,"(start, max_depth)",false,"Subgraph.bfs","bfs","Subgraph","{}",2,"Subgraph -> Subgraph","[""start""]","Subgraph","docstring","(start, max_depth=None)",36,"Subgraph","Subgraph",36
"Import EdgesTable from Parquet file (must contain edge_id, source, target columns)",181,"(path)",false,"EdgesTable.from_parquet","from_parquet","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","docstring","(path)",12,"EdgesTable","EdgesTable",12
compressed_text,309,"()",false,"Subgraph.to_matrix","to_matrix","Subgraph","{}",0,"Subgraph -> GraphMatrix","[]","GraphMatrix","test_execution","()",36,"Subgraph","Subgraph",18
compressed_text,446,"(by)",false,"BaseTable.groupby","groupby","BaseTable","{}",1,"BaseTable -> list","[""by""]","list","docstring","(by)",2,"BaseTable","BaseTable",52
compressed_text,564,"(sep, maxsplit)",false,"BranchName.rsplit","rsplit","BranchName","{}",2,"BranchName -> list","[]","list","test_execution","(sep=None, maxsplit=-1)",4,"BranchName","BranchName",52
compressed_text,545,"()",false,"BranchName.isdecimal","isdecimal","BranchName","{}",0,"BranchName -> bool","[]","bool","test_execution","()",4,"BranchName","BranchName",47
compressed_text,507,"()",false,"AttrName.isascii","isascii","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Get all unique node attribute names across the entire graph",8,"()",false,"Graph.all_node_attribute_names","all_node_attribute_names","Graph","{}",0,"Graph -> list","[]","list","test_execution","()",14,"Graph","Graph",52
compressed_text,94,"()",false,"Graph.to_subgraph","to_subgraph","Graph","{}",0,"Graph -> Subgraph","[]","Subgraph","test_execution","()",14,"Graph","Graph",36
"Sigmoid activation applied to matrix
Implements: matrix.sigmoid()",369,"()",false,"GraphMatrix.sigmoid","sigmoid","GraphMatrix","{}",0,"GraphMatrix -> GraphMatrix","[]","GraphMatrix","test_execution","()",18,"GraphMatrix","GraphMatrix",18
"",288,"(_other)",false,"Subgraph.intersect_with","intersect_with","Subgraph","{}",1,"Subgraph -> Unknown","[""_other""]","Unknown","unknown","(_other)",36,"Subgraph","Subgraph",43
"Convert table to EdgesAccessor by extracting edge IDs from the table",131,"()",false,"GraphTable.to_edges","to_edges","GraphTable","{}",0,"GraphTable -> EdgesAccessor","[]","EdgesAccessor","docstring","()",19,"GraphTable","GraphTable",10
"Get number of rows",155,"()",false,"NodesTable.nrows","nrows","NodesTable","{}",0,"NodesTable -> int","[]","int","test_execution","()",27,"NodesTable","NodesTable",51
compressed_text,345,"()",false,"GraphMatrix.lu_decomposition","lu_decomposition","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","unknown","()",18,"GraphMatrix","GraphMatrix",43
"Mean along specified axis (0=rows, 1=columns)",350,"(axis)",false,"GraphMatrix.mean_axis","mean_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","unknown","(axis)",18,"GraphMatrix","GraphMatrix",43
compressed_text,184,"()",false,"EdgesTable.interactive","interactive","EdgesTable","{}",0,"EdgesTable -> str","[]","str","test_execution","()",12,"EdgesTable","EdgesTable",54
compressed_text,160,"(column, ascending)",false,"NodesTable.sort_by","sort_by","NodesTable","{}",2,"NodesTable -> NodesTable","[""column""]","NodesTable","docstring","(column, ascending=True)",27,"NodesTable","NodesTable",27
compressed_text,476,"(window, operation)",false,"BaseTable.rolling_all","rolling_all","BaseTable","{}",2,"BaseTable -> float","[""window"", ""operation""]","float","docstring","(window, operation)",2,"BaseTable","BaseTable",50
"Get edge IDs as a NumArray for numerical operations
Implements: g.edges.ids()",113,"()",false,"EdgesAccessor.ids","ids","EdgesAccessor","{}",0,"EdgesAccessor -> NumArray","[]","NumArray","test_execution","()",10,"EdgesAccessor","EdgesAccessor",31
"Export EdgesTable to CSV file",200,"(path)",false,"EdgesTable.to_csv","to_csv","EdgesTable","{}",1,"EdgesTable -> NoneType","[""path""]","NoneType","test_execution","(path)",12,"EdgesTable","EdgesTable",30
"Global maximum value in the matrix",347,"()",false,"GraphMatrix.max","max","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","test_execution","()",18,"GraphMatrix","GraphMatrix",50
compressed_text,413,"(updates)",false,"BaseTable.assign","assign","BaseTable","{}",1,"BaseTable -> dict","[""updates""]","dict","docstring","(updates)",2,"BaseTable","BaseTable",49
compressed_text,547,"()",false,"BranchName.isidentifier","isidentifier","BranchName","{}",0,"BranchName -> bool","[]","bool","test_execution","()",4,"BranchName","BranchName",47
"Convert to NodesAccessor - delegates via Python.",93,"()",false,"Graph.to_nodes","to_nodes","Graph","{}",0,"Graph -> NodesAccessor","[]","NodesAccessor","test_execution","()",14,"Graph","Graph",24
compressed_text,416,"()",false,"BaseTable.column_info","column_info","BaseTable","{}",0,"BaseTable -> dict","[]","dict","test_execution","()",2,"BaseTable","BaseTable",49
"Export BaseTable to Parquet file",494,"(path)",false,"BaseTable.to_parquet","to_parquet","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","docstring","(path)",2,"BaseTable","BaseTable",2
"Find connected components in the graph.",20,"()",false,"Graph.connected_components","connected_components","Graph","{}",0,"Graph -> ComponentsArray","[]","ComponentsArray","test_execution","()",14,"Graph","Graph",6
"Get degree matrix from adjacency matrix",383,"()",false,"GraphMatrix.to_degree_matrix","to_degree_matrix","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","docstring","()",18,"GraphMatrix","GraphMatrix",20
"Count null values in each column
Returns a dictionary with column names and their null counts",462,"()",false,"BaseTable.null_counts","null_counts","BaseTable","{}",0,"BaseTable -> dict","[]","dict","test_execution","()",2,"BaseTable","BaseTable",49
"Check if this subgraph is connected",289,"()",false,"Subgraph.is_connected","is_connected","Subgraph","{}",0,"Subgraph -> bool","[]","bool","test_execution","()",36,"Subgraph","Subgraph",47
compressed_text,407,"(agg_specs)",false,"BaseTable.aggregate","aggregate","BaseTable","{}",1,"BaseTable -> dict","[""agg_specs""]","dict","docstring","(agg_specs)",2,"BaseTable","BaseTable",49
"Get entire row as BaseArray (mixed types) or NumArray (if all numerical)",337,"(row)",false,"GraphMatrix.get_row","get_row","GraphMatrix","{}",1,"GraphMatrix -> BaseArray","[""row""]","BaseArray","docstring","(row)",18,"GraphMatrix","GraphMatrix",1
"Get first n rows (default 5)",146,"(n)",false,"NodesTable.head","head","NodesTable","{}",1,"NodesTable -> NodesTable","[]","NodesTable","test_execution","(n=5)",27,"NodesTable","NodesTable",27
"Set bulk node attributes - delegates to PyGraphAttrMut",80,"(attrs_dict)",false,"Graph.set_node_attrs","set_node_attrs","Graph","{}",1,"Graph -> GraphAttrMut","[""attrs_dict""]","GraphAttrMut","docstring","(attrs_dict)",14,"Graph","Graph",17
"Convert this graph to a NetworkX graph.",92,"(directed: bool, include_attributes: bool)",false,"Graph.to_networkx","to_networkx","Graph","{""directed"": ""bool"", ""include_attributes"": ""bool""}",2,"Graph -> Graph","[]","Graph","test_execution","(directed: bool = False, include_attributes: bool = True)",14,"Graph","Graph",14
compressed_text,503,"(encoding, errors)",false,"AttrName.encode","encode","AttrName","{}",2,"AttrName -> bytes","[]","bytes","test_execution","(encoding='utf-8', errors='strict')",0,"AttrName","AttrName",48
"Cholesky decomposition: A = L * L^T
Returns L (lower triangular) for positive definite matrices",316,"()",false,"GraphMatrix.cholesky_decomposition","cholesky_decomposition","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","unknown","()",18,"GraphMatrix","GraphMatrix",43
"Import EdgesTable from JSON file (must contain edge_id, source, target columns)",180,"(path)",false,"EdgesTable.from_json","from_json","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","docstring","(path)",12,"EdgesTable","EdgesTable",12
"Get all meta-nodes within this subgraph",292,"()",false,"Subgraph.meta_nodes","meta_nodes","Subgraph","{}",0,"Subgraph -> list","[]","list","test_execution","()",36,"Subgraph","Subgraph",52
compressed_text,518,"(width, fillchar)",false,"AttrName.ljust","ljust","AttrName","{}",2,"AttrName -> str","[""width""]","str","docstring","(width, fillchar=' ', /)",0,"AttrName","AttrName",54
"Check if path exists between two nodes.",50,"(source, target)",false,"Graph.has_path","has_path","Graph","{}",2,"Graph -> Unknown","[""source"", ""target""]","Unknown","unknown","(source, target)",14,"Graph","Graph",43
"Get parent meta-node - delegates via Python.",70,"()",false,"Graph.parent_meta_node","parent_meta_node","Graph","{}",0,"Graph -> NoneType","[]","NoneType","test_execution","()",14,"Graph","Graph",30
"Concatenate matrices along specified axis",317,"(other, axis)",false,"GraphMatrix.concatenate","concatenate","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""other"", ""axis""]","Unknown","unknown","(other, axis)",18,"GraphMatrix","GraphMatrix",43
"Remove a single edge from the graph",71,"(edge)",false,"Graph.remove_edge","remove_edge","Graph","{}",1,"Graph -> Graph","[""edge""]","Graph","docstring","(edge)",14,"Graph","Graph",14
compressed_text,405,"(suffix)",false,"BaseTable.add_suffix","add_suffix","BaseTable","{}",1,"BaseTable -> str","[""suffix""]","str","docstring","(suffix)",2,"BaseTable","BaseTable",54
"Get edges table - delegates via Python.",30,"()",false,"Graph.edges_table","edges_table","Graph","{}",0,"Graph -> EdgesTable","[]","EdgesTable","test_execution","()",14,"Graph","Graph",12
"DFS traversal - delegates to PyGraphAnalysis helper  ",26,"(start, max_depth, inplace, attr_name)",false,"Graph.dfs","dfs","Graph","{}",4,"Graph -> GraphAnalysis","[""start""]","GraphAnalysis","docstring","(start, max_depth=None, inplace=None, attr_name=None)",14,"Graph","Graph",15
"Intersect with another subgraph (not yet implemented).",56,"(other)",false,"Graph.intersect_with","intersect_with","Graph","{}",1,"Graph -> Subgraph","[""other""]","Subgraph","docstring","(other)",14,"Graph","Graph",36
"Get last n rows (default 5)",198,"(n)",false,"EdgesTable.tail","tail","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[]","EdgesTable","test_execution","(n=5)",12,"EdgesTable","EdgesTable",12
compressed_text,486,"(columns, ascending)",false,"BaseTable.sort_values","sort_values","BaseTable","{}",2,"BaseTable -> list","[""columns""]","list","docstring","(columns, ascending=None)",2,"BaseTable","BaseTable",52
compressed_text,33,"(filter)",false,"Graph.filter_edges","filter_edges","Graph","{}",1,"Graph -> str","[""filter""]","str","docstring","(filter)",14,"Graph","Graph",54
compressed_text,106,"(attrs_dict)",false,"NodesAccessor.set_attrs","set_attrs","NodesAccessor","{}",1,"NodesAccessor -> Graph","[""attrs_dict""]","Graph","docstring","(attrs_dict)",24,"NodesAccessor","NodesAccessor",14
"Get last element  ",223,"()",false,"NumArray.last","last","NumArray","{}",0,"NumArray -> int","[]","int","test_execution","()",31,"NumArray","NumArray",51
"Collapse each subgraph using the Subgraph.collapse API and materialize meta-nodes.",236,compressed_text,false,"SubgraphArray.collapse","collapse","SubgraphArray","{}",9,"SubgraphArray -> list","[]","list","test_execution",compressed_text,37,"SubgraphArray","SubgraphArray",52
"Get unique values for an attribute",167,"(attr_name)",false,"NodesTable.unique_attr_values","unique_attr_values","NodesTable","{}",1,"NodesTable -> Unknown","[""attr_name""]","Unknown","unknown","(attr_name)",27,"NodesTable","NodesTable",43
"ELU (Exponential Linear Unit) activation function",324,"(alpha)",false,"GraphMatrix.elu","elu","GraphMatrix","{}",1,"GraphMatrix -> GraphMatrix","[]","GraphMatrix","test_execution","(alpha=None)",18,"GraphMatrix","GraphMatrix",18
